I0831 12:50:37.380307       1 flags.go:27] FLAG: --address=""
I0831 12:50:37.380435       1 flags.go:27] FLAG: --algorithm-provider=""
I0831 12:50:37.380444       1 flags.go:27] FLAG: --alsologtostderr="false"
I0831 12:50:37.380450       1 flags.go:27] FLAG: --config=""
I0831 12:50:37.380454       1 flags.go:27] FLAG: --contention-profiling="false"
I0831 12:50:37.380459       1 flags.go:27] FLAG: --failure-domains="kubernetes.io/hostname,failure-domain.beta.kubernetes.io/zone,failure-domain.beta.kubernetes.io/region"
I0831 12:50:37.380467       1 flags.go:27] FLAG: --feature-gates=""
I0831 12:50:37.380474       1 flags.go:27] FLAG: --hard-pod-affinity-symmetric-weight="1"
I0831 12:50:37.380480       1 flags.go:27] FLAG: --help="false"
I0831 12:50:37.380484       1 flags.go:27] FLAG: --kube-api-burst="100"
I0831 12:50:37.380488       1 flags.go:27] FLAG: --kube-api-content-type="application/vnd.kubernetes.protobuf"
I0831 12:50:37.380492       1 flags.go:27] FLAG: --kube-api-qps="50"
I0831 12:50:37.380498       1 flags.go:27] FLAG: --kubeconfig="/etc/srv/kubernetes/kube-scheduler/kubeconfig"
I0831 12:50:37.380502       1 flags.go:27] FLAG: --leader-elect="true"
I0831 12:50:37.380506       1 flags.go:27] FLAG: --leader-elect-lease-duration="15s"
I0831 12:50:37.380511       1 flags.go:27] FLAG: --leader-elect-renew-deadline="10s"
I0831 12:50:37.380515       1 flags.go:27] FLAG: --leader-elect-resource-lock="endpoints"
I0831 12:50:37.380519       1 flags.go:27] FLAG: --leader-elect-retry-period="2s"
I0831 12:50:37.380523       1 flags.go:27] FLAG: --lock-object-name="kube-scheduler"
I0831 12:50:37.380526       1 flags.go:27] FLAG: --lock-object-namespace="kube-system"
I0831 12:50:37.380530       1 flags.go:27] FLAG: --log-backtrace-at=":0"
I0831 12:50:37.380536       1 flags.go:27] FLAG: --log-dir=""
I0831 12:50:37.380540       1 flags.go:27] FLAG: --log-flush-frequency="5s"
I0831 12:50:37.380544       1 flags.go:27] FLAG: --logtostderr="true"
I0831 12:50:37.380547       1 flags.go:27] FLAG: --master=""
I0831 12:50:37.380551       1 flags.go:27] FLAG: --policy-config-file=""
I0831 12:50:37.380554       1 flags.go:27] FLAG: --policy-configmap=""
I0831 12:50:37.380558       1 flags.go:27] FLAG: --policy-configmap-namespace=""
I0831 12:50:37.380562       1 flags.go:27] FLAG: --port="10251"
I0831 12:50:37.380566       1 flags.go:27] FLAG: --profiling="false"
I0831 12:50:37.380569       1 flags.go:27] FLAG: --scheduler-name="default-scheduler"
I0831 12:50:37.380573       1 flags.go:27] FLAG: --stderrthreshold="2"
I0831 12:50:37.380577       1 flags.go:27] FLAG: --use-legacy-policy-config="false"
I0831 12:50:37.380580       1 flags.go:27] FLAG: --v="2"
I0831 12:50:37.380584       1 flags.go:27] FLAG: --version="false"
I0831 12:50:37.380590       1 flags.go:27] FLAG: --vmodule=""
W0831 12:50:37.380601       1 server.go:163] WARNING: all flags other than --config are deprecated. Please begin using a config file ASAP.
I0831 12:50:37.383066       1 server.go:555] Version: v1.10.4
I0831 12:50:37.383276       1 factory.go:922] Creating scheduler from algorithm provider 'DefaultProvider'
I0831 12:50:37.383284       1 factory.go:1022] Creating scheduler with fit predicates 'map[MatchInterPodAffinity:{} CheckNodeMemoryPressure:{} NoVolumeZoneConflict:{} MaxEBSVolumeCount:{} MaxAzureDiskVolumeCount:{} CheckNodeDiskPressure:{} CheckNodeCondition:{} PodToleratesNodeTaints:{} CheckVolumeBinding:{} MaxGCEPDVolumeCount:{} NoDiskConflict:{} GeneralPredicates:{}]' and priority functions 'map[BalancedResourceAllocation:{} NodePreferAvoidPodsPriority:{} NodeAffinityPriority:{} TaintTolerationPriority:{} SelectorSpreadPriority:{} InterPodAffinityPriority:{} LeastRequestedPriority:{}]'
I0831 12:50:37.383597       1 server.go:574] starting healthz server on 0.0.0.0:10251
I0831 12:50:38.285137       1 controller_utils.go:1019] Waiting for caches to sync for scheduler controller
I0831 12:50:38.385325       1 controller_utils.go:1026] Caches are synced for scheduler controller
I0831 12:50:38.385372       1 leaderelection.go:175] attempting to acquire leader lease  kube-system/kube-scheduler...
I0831 12:50:38.389957       1 leaderelection.go:184] successfully acquired lease kube-system/kube-scheduler
I0831 12:53:16.804119       1 scheduler.go:451] ScheduleAlgoTime 1.464241ms Start:2018-08-31 12:53:16.802631467 +0000 UTC m=+159.473253656 End:2018-08-31 12:53:16.804095748 +0000 UTC m=+159.474717897
I0831 12:53:16.804255       1 scheduler.go:454] Total Schedule Algo cumulative time:1.464241ms for 1
I0831 12:53:16.981225       1 scheduler.go:451] ScheduleAlgoTime 2.15499ms Start:2018-08-31 12:53:16.979054629 +0000 UTC m=+159.649676812 End:2018-08-31 12:53:16.981209672 +0000 UTC m=+159.651831802
I0831 12:53:16.981292       1 scheduler.go:454] Total Schedule Algo cumulative time:3.619231ms for 2
I0831 12:53:16.988780       1 scheduler.go:451] ScheduleAlgoTime 5.947936ms Start:2018-08-31 12:53:16.982817443 +0000 UTC m=+159.653439652 End:2018-08-31 12:53:16.98876547 +0000 UTC m=+159.659387588
I0831 12:53:17.055856       1 scheduler.go:454] Total Schedule Algo cumulative time:9.567167ms for 3
I0831 12:53:17.060311       1 scheduler.go:451] ScheduleAlgoTime 1.216669ms Start:2018-08-31 12:53:17.059076607 +0000 UTC m=+159.729698823 End:2018-08-31 12:53:17.060293359 +0000 UTC m=+159.730915492
I0831 12:53:17.060375       1 scheduler.go:454] Total Schedule Algo cumulative time:10.783836ms for 4
I0831 12:53:17.066637       1 scheduler.go:451] ScheduleAlgoTime 1.26601ms Start:2018-08-31 12:53:17.065355222 +0000 UTC m=+159.735977367 End:2018-08-31 12:53:17.066621259 +0000 UTC m=+159.737243377
I0831 12:53:17.066706       1 scheduler.go:454] Total Schedule Algo cumulative time:12.049846ms for 5
I0831 12:53:17.069015       1 scheduler.go:451] ScheduleAlgoTime 1.947056ms Start:2018-08-31 12:53:17.067054044 +0000 UTC m=+159.737676176 End:2018-08-31 12:53:17.069001113 +0000 UTC m=+159.739623232
I0831 12:53:17.069062       1 scheduler.go:454] Total Schedule Algo cumulative time:13.996902ms for 6
I0831 12:53:17.070725       1 scheduler.go:451] ScheduleAlgoTime 860.368µs Start:2018-08-31 12:53:17.06985341 +0000 UTC m=+159.740475568 End:2018-08-31 12:53:17.07071381 +0000 UTC m=+159.741335936
I0831 12:53:17.070786       1 scheduler.go:454] Total Schedule Algo cumulative time:14.85727ms for 7
I0831 12:53:17.075393       1 scheduler.go:451] ScheduleAlgoTime 940.653µs Start:2018-08-31 12:53:17.074441117 +0000 UTC m=+159.745063285 End:2018-08-31 12:53:17.075381807 +0000 UTC m=+159.746003938
I0831 12:53:17.201048       1 scheduler.go:454] Total Schedule Algo cumulative time:15.797923ms for 8
I0831 12:53:17.223731       1 scheduler.go:451] ScheduleAlgoTime 2.157699ms Start:2018-08-31 12:53:17.221556186 +0000 UTC m=+159.892178367 End:2018-08-31 12:53:17.223713935 +0000 UTC m=+159.894336066
I0831 12:53:17.248704       1 scheduler.go:454] Total Schedule Algo cumulative time:17.955622ms for 9
I0831 12:53:17.250103       1 scheduler.go:451] ScheduleAlgoTime 1.192621ms Start:2018-08-31 12:53:17.24890246 +0000 UTC m=+159.919524613 End:2018-08-31 12:53:17.250095115 +0000 UTC m=+159.920717234
I0831 12:53:17.250152       1 scheduler.go:454] Total Schedule Algo cumulative time:19.148243ms for 10
I0831 12:53:17.251306       1 scheduler.go:451] ScheduleAlgoTime 1.05157ms Start:2018-08-31 12:53:17.250248045 +0000 UTC m=+159.920870191 End:2018-08-31 12:53:17.251299642 +0000 UTC m=+159.921921761
I0831 12:53:17.251347       1 scheduler.go:454] Total Schedule Algo cumulative time:20.199813ms for 11
I0831 12:53:17.262420       1 scheduler.go:451] ScheduleAlgoTime 1.046632ms Start:2018-08-31 12:53:17.261364886 +0000 UTC m=+159.931987096 End:2018-08-31 12:53:17.262411609 +0000 UTC m=+159.933033728
I0831 12:53:17.262476       1 scheduler.go:454] Total Schedule Algo cumulative time:21.246445ms for 12
I0831 12:53:17.263266       1 scheduler.go:451] ScheduleAlgoTime 702.852µs Start:2018-08-31 12:53:17.262553934 +0000 UTC m=+159.933176078 End:2018-08-31 12:53:17.263256808 +0000 UTC m=+159.933878930
I0831 12:53:17.263327       1 scheduler.go:454] Total Schedule Algo cumulative time:21.949297ms for 13
I0831 12:53:17.264419       1 scheduler.go:451] ScheduleAlgoTime 786.67µs Start:2018-08-31 12:53:17.263625317 +0000 UTC m=+159.934247467 End:2018-08-31 12:53:17.264412012 +0000 UTC m=+159.935034137
I0831 12:53:17.264503       1 scheduler.go:454] Total Schedule Algo cumulative time:22.735967ms for 14
I0831 12:53:17.295598       1 scheduler.go:451] ScheduleAlgoTime 1.170888ms Start:2018-08-31 12:53:17.294403977 +0000 UTC m=+159.965026146 End:2018-08-31 12:53:17.295574915 +0000 UTC m=+159.966197034
I0831 12:53:17.295647       1 scheduler.go:454] Total Schedule Algo cumulative time:23.906855ms for 15
I0831 12:53:17.551800       1 scheduler.go:451] ScheduleAlgoTime 1.453555ms Start:2018-08-31 12:53:17.55033808 +0000 UTC m=+160.220960251 End:2018-08-31 12:53:17.551791684 +0000 UTC m=+160.222413806
I0831 12:53:17.551852       1 scheduler.go:454] Total Schedule Algo cumulative time:25.36041ms for 16
I0831 12:53:17.781513       1 scheduler.go:451] ScheduleAlgoTime 1.064842ms Start:2018-08-31 12:53:17.780439997 +0000 UTC m=+160.451062165 End:2018-08-31 12:53:17.781504884 +0000 UTC m=+160.452127007
I0831 12:53:18.046479       1 scheduler.go:454] Total Schedule Algo cumulative time:26.425252ms for 17
I0831 12:53:18.047869       1 scheduler.go:451] ScheduleAlgoTime 1.086646ms Start:2018-08-31 12:53:18.046774634 +0000 UTC m=+160.717396809 End:2018-08-31 12:53:18.047861329 +0000 UTC m=+160.718483455
I0831 12:53:18.047936       1 scheduler.go:454] Total Schedule Algo cumulative time:27.511898ms for 18
I0831 12:53:18.048813       1 scheduler.go:451] ScheduleAlgoTime 760.304µs Start:2018-08-31 12:53:18.048042335 +0000 UTC m=+160.718664481 End:2018-08-31 12:53:18.048802664 +0000 UTC m=+160.719424785
I0831 12:53:18.048855       1 scheduler.go:454] Total Schedule Algo cumulative time:28.272202ms for 19
I0831 12:53:18.094089       1 scheduler.go:451] ScheduleAlgoTime 1.623906ms Start:2018-08-31 12:53:18.092450213 +0000 UTC m=+160.763072392 End:2018-08-31 12:53:18.09407418 +0000 UTC m=+160.764696298
I0831 12:53:18.094147       1 scheduler.go:454] Total Schedule Algo cumulative time:29.896108ms for 20
